CompetitionID,Arme,Sexe,Domaine,Federation,Categorie,Date,TitreCourt,TitreLong,CompetitionType,FileName
95,E,M,,SVK,C,12.02.2011,CD 2011 EMC,CD 2011 EMC,Individual,134.xml
507,E,M,,AUT,S,05.12.2015,EMU-in,U23 EC Mens Epee,Individual,1340.xml
72,F,F,I,FRA,C,05.12.2015,FDC - Coupe Mondiale Fleuret 2015,FDC - Coupe Mondiale 2015,Individual,1341.xml
73,F,M,,FRA,C,05.12.2015,Coupe Mondiale 2015,Coupe Mondiale Fleuret 2015,Individual,1342.xml
75,F,M,I,FRA,C,05.12.2015,Coupe Mondiale Equipe,Cadet Circuit,Team,1344.xml
9,F,F,I,FFE,C,05.12.2015,FDC - Coupe Mondiale Cabries 2015,FDC - Coupe Mondiale Cabries 2015,Team,1345.xml
531,F,M,,AUT,S,06.12.2015,FMU-in,U23 EC Mens Foil,Individual,1346.xml
508,E,F,,AUT,S,06.12.2015,EFU-in,U23 EC Womens Epee,Individual,1348.xml
521,V,M,Z,DEN,C,12.12.2015,Cadet Circuit,,Individual,1349.xml
522,V,F,Z,DEN,C,12.12.2015,Cadet Circuit,,Individual,1350.xml
76,S,F,Z,GER,C,12.12.2015,Cadet Circuit,,Individual,1351.xml
77,S,M,Z,GER,C,12.12.2015,Cadet Circuit,,Individual,1353.xml
79,S,X,I,GER,C,13.12.2015,Cadet Circuit,,Team,1354.xml
555,V,X,Z,DEN,C,13.12.2015,Cadet Circuit,,Team,1355.xml
554,F,M,,ESP,B,13.12.2015,FMU-in,U23 European Circuit,Individual,1363.xml
580,F,F,,ESP,,13.12.2015,FFU-in,U23 European Circuit,Individual,1364.xml
533,E,F,N,GER,U,19.12.2015,U23 European Circuit,U23 European Circuit,Individual,1365.xml
505,F,F,I,,S,20.12.2015,,Buzdygan,Individual,1366.xml
504,F,M,I,,S,20.12.2015,,Buzdygan,Individual,1367.xml
585,E,M,I,POL,C,08.01.2016,,Wawel Dragon Trophy,Individual,1368.xml
586,E,F,I,POL,C,09.01.2016,,Wawel Dragon Trophy,Individual,1369.xml
1671181,E,X,I,POL,C,10.01.2016,,Wawel Dragon Trophy,Team,1370.xml
461,E,M,Z,GER,,09.01.2016,U23 European Circuit Weisser Baer,,Individual,1371.xml
540,S,M,,AUT,C,16.01.2016,SMC-in,ECC MS 2016,Individual,1376.xml
542,F,M,,ITA,C,16.01.2016,FMC-in,Cadet Circuit - Men's Foil,Individual,1377.xml
456,S,M,,HUN,S,16.01.2016,SMU-in,U23 European Circuit,Individual,1380.xml
543,F,F,,ITA,C,16.01.2016,FFC-in,Cadet Circuit - Women's Foil,Individual,1389.xml
541,S,F,,AUT,C,17.01.2016,SFC-in,ECC WS 2016,Individual,1390.xml
457,S,F,,HUN,S,16.01.2016,SFU-in,U23 European Circuit,Individual,1391.xml
565,F,M,Z,GER,Vet,23.01.2016,U23 European Circuit Esslinger Burg Cup,,Individual,1392.xml
983044,E,F,I,SVK,C,23.01.2016,,Coupe du Danube 2016,Individual,1393.xml
983041,F,M,I,SVK,C,23.01.2016,,Coupe du Danube 2016,Individual,1394.xml
